"Name","batch_size","epoch","lr","Test accuracy"
"rosy-sweep-27","64","30","0.001","97.92"
"peachy-sweep-26","64","30","0.0001","96.37"
"hardy-sweep-25","64","30","0.00001","89.9"
"sage-sweep-24","64","20","0.001","98.14"
"morning-sweep-23","64","20","0.0001","95.84"
"ruby-sweep-22","64","20","0.00001","90.87"
"wise-sweep-21","64","10","0.001","97.96"
"cosmic-sweep-20","64","10","0.0001","95.28"
"logical-sweep-19","64","10","0.00001","93.11"
"deep-sweep-18","32","30","0.001","98.12"
"fine-sweep-17","32","30","0.0001","97.06"
"gentle-sweep-16","32","30","0.00001","89.71"
"solar-sweep-15","32","20","0.001","98.09"
"smooth-sweep-14","32","20","0.0001","97.86"
"lively-sweep-13","32","20","0.00001","92.86"
"eager-sweep-12","32","10","0.001","98.18"
"ethereal-sweep-11","32","10","0.0001","96.71"
"flowing-sweep-10","32","10","0.00001","91.9"
"glamorous-sweep-9","16","30","0.001","98.02"
"clean-sweep-8","16","30","0.0001","98.04"
"helpful-sweep-7","16","30","0.00001","91.57"
"worldly-sweep-6","16","20","0.001","98.02"
"dazzling-sweep-5","16","20","0.0001","97.85"
"morning-sweep-4","16","20","0.00001","88.81"
"fearless-sweep-3","16","10","0.001","98.17"
"classic-sweep-2","16","10","0.0001","96.23"
"youthful-sweep-1","16","10","0.00001","88.2"